Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,7.598008,7.598008,7.598008,7.598008,5.680872,1496917302
2008-02-01,7.598008,7.598008,6.739655,6.739655,5.039100,995657378
2008-03-01,6.739655,6.930400,6.739655,6.930400,5.181715,1224972466
2008-04-01,6.930400,7.375472,6.930400,6.930400,5.181715,1352517957
2008-05-01,6.930400,7.708767,6.637289,6.721217,5.025314,589581696
2008-06-01,6.721217,7.516433,6.462439,6.483421,4.899208,471845049
2008-07-01,7.162537,7.162537,5.993843,6.639387,5.017064,433788477
2008-08-01,6.589380,6.985589,6.028812,6.161698,4.656096,225995378
2008-09-01,6.147710,7.031750,5.937891,6.140716,4.640242,744108263
2008-10-01,6.754788,6.754788,3.269686,4.678974,3.535675,934253845
2008-11-01,4.755908,5.245486,4.175407,4.825847,3.671723,480026770
2008-12-01,4.804866,4.888793,4.007552,4.091479,3.112982,611618267
2009-01-01,4.091479,4.692962,4.056509,4.455166,3.389691,536069274
2009-02-01,4.371239,4.448172,4.028533,4.126449,3.139589,420009232
2009-03-01,4.161419,4.329275,3.741780,4.273323,3.251337,628203890
2009-04-01,4.273323,5.175547,4.154425,5.070637,3.857969,572766666
2009-05-01,5.070637,5.784023,5.000697,5.476288,4.166606,557543942
2009-06-01,5.476288,5.874945,5.273462,5.700095,4.406790,496830315
2009-07-01,5.700095,6.119734,5.518252,6.063782,4.687960,420529949
2009-08-01,6.028812,6.105746,5.539234,5.867951,4.536561,346326979
2009-09-01,5.874945,6.924042,5.874945,6.847108,5.293555,402890010
2009-10-01,6.847108,6.986988,6.546367,6.560355,5.071864,291924088
2009-11-01,6.406488,6.721217,6.224644,6.434463,5.005370,351951832
2009-12-01,6.406488,6.854102,6.378512,6.819133,5.304603,311071638
2010-01-01,6.819133,6.952018,5.895927,5.937891,4.619086,363302262
2010-02-01,5.944885,6.516293,5.665125,6.112740,4.755101,371699336
2010-03-01,6.154704,6.840114,6.119734,6.770175,5.266520,381579102
2010-04-01,6.812139,7.616447,1.862763,6.644283,5.168589,359726147
2010-05-01,6.511397,7.377952,6.303571,6.616307,5.146826,400749347
2010-06-01,6.608614,7.501046,6.600920,7.439499,5.855481,353556408
2010-07-01,7.462579,7.693380,7.308711,7.462579,5.873646,256604581
2010-08-01,7.501046,7.562593,7.077910,7.216391,5.679878,309983591
2010-09-01,7.231777,7.608753,7.108683,7.554899,5.946311,275067672
2010-10-01,7.547206,7.693380,7.162537,7.162537,5.637490,427614743
2010-11-01,7.224084,7.477966,7.185617,7.293325,5.776048,326578874
2010-12-01,7.270244,7.385645,7.000976,7.047136,5.581076,267224758
2011-01-01,7.085603,7.193311,6.785561,6.785561,5.373918,277948459
