Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,3.430000,3.480000,2.000000,2.170000,1.802034,248799900
2008-02-01,2.240000,2.650000,2.200000,2.600000,2.159118,102406000
2008-03-01,2.600000,2.600000,1.640000,1.930000,1.602730,259975156
2008-04-01,1.960000,2.480000,1.940000,2.430000,2.017946,148498700
2008-05-01,2.470000,2.840000,2.220000,2.770000,2.300292,135773889
2008-06-01,2.770000,2.780000,2.020000,2.080000,1.727295,75818000
2008-07-01,2.070000,2.110000,1.750000,1.830000,1.519688,178695842
2008-08-01,1.830000,1.970000,1.700000,1.860000,1.544600,82958200
2008-09-01,1.890000,1.930000,1.000000,1.320000,1.102955,237342574
2008-10-01,1.360000,1.360000,0.470000,0.620000,0.518055,277285473
2008-11-01,0.650000,0.880000,0.550000,0.750000,0.626679,489797266
2008-12-01,0.750000,1.300000,0.740000,1.140000,0.952552,553160250
2009-01-01,1.170000,1.270000,1.000000,1.110000,0.927485,147410293
2009-02-01,1.080000,1.250000,1.050000,1.160000,0.969264,126384523
2009-03-01,1.150000,1.280000,1.040000,1.210000,1.011042,168412181
2009-04-01,1.210000,1.600000,1.190000,1.440000,1.203224,298970084
2009-05-01,1.440000,2.000000,1.420000,1.860000,1.554165,342286500
2009-06-01,1.880000,2.200000,1.810000,1.930000,1.612654,376914286
2009-07-01,1.930000,2.130000,1.840000,2.080000,1.737990,308593300
2009-08-01,2.100000,2.450000,2.040000,2.100000,1.754702,368804369
2009-09-01,2.080000,2.730000,2.080000,2.470000,2.077328,242188676
2009-10-01,2.470000,3.450000,2.360000,3.160000,2.657634,287544357
2009-11-01,3.050000,3.620000,3.050000,3.360000,2.825838,281168200
2009-12-01,3.380000,4.390000,3.360000,4.240000,3.565939,401064106
2010-01-01,4.240000,5.030000,3.840000,4.150000,3.490247,368849632
2010-02-01,4.100000,4.170000,3.500000,4.070000,3.422966,163215229
2010-03-01,4.100000,4.480000,4.030000,4.360000,3.666862,198930738
2010-04-01,4.380000,4.640000,4.100000,4.460000,3.750965,170840380
2010-05-01,4.420000,4.530000,3.500000,3.870000,3.254760,250032421
2010-06-01,3.950000,4.440000,3.500000,4.390000,3.692092,237948609
2010-07-01,4.420000,4.450000,3.880000,3.940000,3.313632,246892390
2010-08-01,3.970000,4.030000,3.750000,3.950000,3.322042,234501415
2010-09-01,3.950000,4.360000,3.930000,4.170000,3.522304,248733718
2010-10-01,4.220000,4.820000,4.150000,4.430000,3.741919,913938659
2010-11-01,4.490000,4.580000,3.510000,3.970000,3.353369,661476718
2010-12-01,3.910000,3.950000,3.340000,3.390000,2.863456,417439409
2011-01-01,3.390000,3.520000,3.340000,3.390000,2.863456,60551482
2011-02-01,2.950000,3.270000,2.630000,2.920000,2.466457,750276906
2011-03-01,2.920000,3.870000,2.610000,3.820000,3.226667,705370352
2011-04-01,3.880000,3.930000,2.990000,3.040000,2.567818,538077088
2011-05-01,3.040000,3.350000,3.000000,3.270000,2.762094,361636741
2011-06-01,3.300000,3.310000,2.800000,3.130000,2.643839,276482553
2011-07-01,3.130000,3.230000,2.900000,2.930000,2.474904,146547151
2011-08-01,2.940000,2.970000,1.900000,2.650000,2.238394,304496606
2011-09-01,2.700000,2.710000,1.800000,2.020000,1.720980,190905705
2011-10-01,1.940000,2.490000,1.610000,2.260000,1.925453,434237108
2011-11-01,2.200000,2.910000,1.950000,2.690000,2.291800,505238321
2011-12-01,2.850000,3.600000,2.730000,3.570000,3.041534,775938597
2012-01-01,3.570000,3.750000,3.460000,3.610000,3.075613,498858788
2012-02-01,3.600000,3.750000,3.600000,3.730000,3.177849,352731680
