Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,5.660000,5.830000,4.800000,4.950000,3.498874,230154612
2008-02-01,4.980000,5.340000,4.830000,5.140000,3.633174,103818417
2008-03-01,5.020000,5.100000,3.700000,4.050000,2.862715,156386624
2008-04-01,4.060000,4.650000,3.910000,4.460000,3.152521,168101307
2008-05-01,4.460000,4.590000,3.840000,3.920000,2.770826,132807600
2008-06-01,4.040000,4.090000,3.310000,3.550000,2.559105,142775804
2008-07-01,3.540000,3.940000,3.400000,3.920000,2.825830,119736119
2008-08-01,3.900000,3.910000,2.850000,3.530000,2.544688,123950580
2008-09-01,3.510000,3.950000,3.050000,3.780000,2.724907,259049895
2008-10-01,3.930000,3.930000,2.000000,2.920000,2.104954,186757086
2008-11-01,2.950000,3.120000,2.150000,2.620000,1.888692,129189911
2008-12-01,2.620000,3.060000,2.590000,2.860000,2.061702,93111039
2009-01-01,2.920000,3.180000,2.300000,2.500000,1.802187,86329062
2009-02-01,2.500000,2.640000,2.300000,2.300000,1.658012,76043423
2009-03-01,2.300000,2.620000,2.160000,2.550000,1.838231,131716815
2009-04-01,2.550000,3.640000,2.500000,3.490000,2.515854,193159367
2009-05-01,3.490000,3.950000,3.330000,3.670000,2.645611,146565433
2009-06-01,3.720000,4.040000,3.550000,3.660000,2.695603,176024809
2009-07-01,3.660000,3.820000,3.320000,3.750000,2.761889,122411510
2009-08-01,3.780000,4.010000,3.350000,3.370000,2.482017,134514045
2009-09-01,3.380000,3.450000,3.100000,3.130000,2.305256,95531408
2009-10-01,3.130000,3.260000,3.000000,3.190000,2.349447,90141868
2009-11-01,3.130000,3.630000,2.960000,3.050000,2.246336,428254595
2009-12-01,3.100000,3.280000,2.900000,3.170000,2.334716,350979674
2010-01-01,3.170000,3.520000,3.080000,3.190000,2.349447,302615755
2010-02-01,3.190000,3.290000,3.050000,3.150000,2.319986,110183983
2010-03-01,3.150000,3.200000,3.040000,3.110000,2.290526,114579469
2010-04-01,3.130000,3.170000,3.000000,3.050000,2.246336,114327343
2010-05-01,3.050000,3.050000,2.540000,2.670000,1.966465,137675861
2010-06-01,2.650000,2.830000,2.540000,2.720000,2.061994,112586886
2010-07-01,2.710000,2.870000,2.610000,2.850000,2.160545,112838457
2010-08-01,2.860000,2.910000,2.670000,2.680000,2.031671,86825779
2010-09-01,2.680000,2.950000,2.680000,2.890000,2.190869,125867654
2010-10-01,2.910000,3.170000,2.810000,3.130000,2.372809,267709455
2010-11-01,3.130000,3.460000,3.110000,3.150000,2.387971,188753206
2010-12-01,3.140000,3.220000,3.000000,3.060000,2.319744,115957045
2011-01-01,3.050000,3.320000,3.050000,3.190000,2.418295,109080980
2011-02-01,3.190000,3.270000,2.890000,2.940000,2.228773,57393557
2011-03-01,2.940000,3.080000,2.780000,2.950000,2.236354,129345327
2011-04-01,2.940000,3.220000,2.910000,3.080000,2.334905,91986707
2011-05-01,3.080000,3.400000,3.080000,3.130000,2.457841,192985047
2011-06-01,3.150000,3.300000,3.080000,3.260000,2.559924,82666675
2011-07-01,3.260000,3.320000,2.990000,3.050000,2.395021,72162498
2011-08-01,3.050000,3.070000,2.560000,2.840000,2.230118,87685761
2011-09-01,2.850000,2.880000,2.220000,2.360000,1.853197,71846134
2011-10-01,2.350000,2.860000,2.160000,2.720000,2.135888,119272279
2011-11-01,2.720000,2.900000,2.250000,2.760000,2.167298,54826527
2011-12-01,2.820000,2.830000,2.650000,2.750000,2.159445,57296293
2012-01-01,2.750000,2.840000,2.700000,2.830000,2.222265,46530470
2012-02-01,2.830000,3.160000,2.780000,3.060000,2.402873,54477824
2012-03-01,3.020000,3.090000,2.900000,3.020000,2.371464,40259567
2012-04-01,3.070000,3.070000,2.880000,2.880000,2.261528,42178680
2012-05-01,2.880000,2.920000,2.490000,2.510000,1.970985,66902424
2012-06-01,2.500000,2.580000,2.280000,2.310000,1.883700,67077261
2012-07-01,2.310000,2.530000,2.310000,2.470000,2.014174,80985491
2012-08-01,2.450000,2.490000,2.240000,2.250000,1.834773,63630021
2012-09-01,2.250000,2.530000,2.160000,2.510000,2.046791,80147199
2012-10-01,2.510000,2.890000,2.490000,2.670000,2.177264,84115090
2012-11-01,2.670000,2.780000,2.570000,2.570000,2.095719,50668427
2012-12-01,2.590000,3.080000,2.540000,3.080000,2.511601,76209159
2013-01-01,3.080000,3.430000,3.010000,3.360000,2.739928,133406892
2013-02-01,3.340000,3.740000,3.200000,3.710000,3.025337,159839257
2013-03-01,3.700000,4.230000,3.670000,3.800000,3.098728,156169164
2013-04-01,3.800000,4.000000,3.330000,3.910000,3.188428,99446712
2013-05-01,3.910000,3.940000,3.430000,3.490000,2.845937,87855964
2013-06-01,3.490000,3.600000,2.810000,3.130000,2.611218,65993763
2013-07-01,3.130000,3.620000,3.000000,3.440000,2.869837,73205086
2013-08-01,3.420000,3.900000,3.370000,3.730000,3.111771,84127339
2013-09-01,3.710000,4.480000,3.660000,4.070000,3.395418,197149140
2013-10-01,4.070000,4.370000,3.870000,4.130000,3.445473,66354797
2013-11-01,4.120000,4.170000,3.800000,3.820000,3.186854,64520875
2013-12-01,3.830000,3.920000,3.280000,3.590000,2.994975,89429161
2014-01-01,3.590000,3.810000,3.060000,3.360000,2.803096,137437172
2014-02-01,3.360000,3.760000,3.170000,3.520000,2.936577,106695497
2014-03-01,3.500000,3.570000,3.130000,3.280000,2.736356,105004459
2014-04-01,3.300000,3.480000,2.790000,2.930000,2.444367,122113871
2014-05-01,2.930000,3.020000,2.790000,2.930000,2.444367,84632474
2014-06-01,2.930000,2.990000,2.780000,2.890000,2.410997,105956746
2014-07-01,2.890000,3.160000,2.850000,3.140000,2.692075,85399056
2014-08-01,3.120000,3.620000,3.080000,3.120000,2.674927,151393239
2014-09-01,3.100000,3.270000,2.990000,3.070000,2.632060,75505382
2014-10-01,3.070000,3.390000,2.980000,3.330000,2.854970,66631783
2014-11-01,3.380000,3.520000,3.180000,3.350000,2.872117,101770873
2014-12-01,3.350000,3.860000,3.240000,3.770000,3.232204,189052988
2015-01-01,3.770000,4.140000,3.670000,4.020000,3.446541,162802831
2015-02-01,3.990000,3.990000,3.740000,3.930000,3.369380,46794000
2015-03-01,3.930000,3.960000,3.480000,3.600000,3.086454,64262418
2015-04-01,3.600000,5.220000,3.600000,5.150000,4.415345,358033654
2015-05-01,5.150000,5.430000,4.620000,5.120000,4.389624,166837000
2015-06-01,5.100000,5.350000,4.060000,4.270000,3.660878,250393007
2015-07-01,4.270000,4.270000,3.000000,3.720000,3.230200,152814242
2015-08-01,3.810000,4.180000,2.960000,3.200000,2.778667,96687916
2015-09-01,3.220000,3.430000,2.920000,3.080000,2.674467,78557274
2015-10-01,3.080000,4.030000,3.080000,4.020000,3.490700,78707702
2015-11-01,4.000000,4.120000,3.620000,3.900000,3.386500,79706166
2015-12-01,3.940000,4.340000,3.720000,3.870000,3.360450,81848088
2016-01-01,3.870000,3.900000,3.200000,3.280000,2.848133,95172420
2016-02-01,3.310000,3.700000,3.110000,3.430000,2.978383,41436500
2016-03-01,3.420000,3.710000,3.150000,3.330000,2.891550,85053868
2016-04-01,3.310000,4.050000,3.300000,4.030000,3.499383,116330713
2016-05-01,4.030000,4.030000,3.620000,3.760000,3.264933,81842599
2016-06-01,3.720000,3.790000,3.410000,3.680000,3.195467,66809896
2016-07-01,3.680000,3.820000,3.520000,3.800000,3.385031,45770028
2016-08-01,3.820000,4.210000,3.770000,4.200000,3.741349,84620952
2016-09-01,4.170000,4.380000,3.920000,4.010000,3.572098,55100294
2016-10-01,4.010000,4.430000,3.970000,4.290000,3.821522,45470704
