Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,12.000000,12.440000,7.940000,9.250000,8.939280,439824130
2008-02-01,9.390000,10.610000,9.110000,9.940000,9.606099,236022645
2008-03-01,9.910000,10.139000,6.800000,8.850000,8.552716,434535215
2008-04-01,9.170000,11.080000,8.900000,10.310000,9.963672,381459225
2008-05-01,10.310000,14.180000,10.310000,13.140000,12.698609,791441590
2008-06-01,13.500000,14.410000,11.760000,12.060000,11.687608,721699370
2008-07-01,12.060000,14.000000,11.400000,13.910000,13.480482,371893070
2008-08-01,13.600000,14.390000,12.440000,13.400000,12.986230,326769080
2008-09-01,13.400000,13.960000,9.380000,11.100000,10.757249,655682365
2008-10-01,11.100000,11.260000,7.050000,11.000000,10.660338,869141185
2008-11-01,10.754798,11.640000,7.660000,8.500000,8.237534,723140560
2008-12-01,8.500000,10.600000,8.300000,10.000000,9.691216,532066705
2009-01-01,10.000000,10.700000,8.290000,9.680000,9.381099,519307725
2009-02-01,9.680000,10.160000,8.700000,8.990000,8.712404,371004490
2009-03-01,8.750000,11.970000,8.690000,11.480000,11.125518,596917120
2009-04-01,11.620000,14.000000,11.480000,13.800000,13.373879,413442320
2009-05-01,13.800000,17.480000,13.800000,17.280001,16.746426,484176515
2009-06-01,16.940001,19.150000,16.600000,18.090000,17.555197,525125100
2009-07-01,18.090000,21.379999,1.750000,20.920000,20.301531,434214815
2009-08-01,21.200001,24.540001,21.059999,23.059999,22.378269,486467240
2009-09-01,23.000000,26.360001,22.520000,25.219999,24.474415,364410610
2009-10-01,25.219999,30.400000,24.400000,27.420000,26.609377,484745800
2009-11-01,27.180000,30.600000,26.799999,28.660000,27.812712,467782530
2009-12-01,28.860001,33.200001,28.680000,33.799999,32.800747,420683215
2010-01-01,33.700001,35.040001,27.500000,29.040001,28.181482,690951065
2010-02-01,28.879999,30.900000,26.660000,30.440001,29.540091,523577105
2010-03-01,30.799999,33.599998,30.100000,31.160000,30.238806,645365265
2010-04-01,30.820000,33.099998,30.660000,32.680000,31.713865,451996450
2010-05-01,32.400002,33.360001,27.237000,30.040001,29.151917,674582570
2010-06-01,29.900000,30.780001,24.080000,26.100000,25.343710,1177933280
2010-07-01,26.100000,30.080000,25.660000,29.940001,29.072439,525053885
2010-08-01,30.400000,31.160000,27.139999,28.459999,27.635324,431340405
2010-09-01,28.160000,34.220001,28.080000,33.919998,32.937111,446896045
2010-10-01,33.919998,38.599998,33.080002,35.500000,34.471336,446870835
2010-11-01,37.200001,37.840000,32.860001,34.540001,33.539146,620462255
2010-12-01,34.660000,36.880001,33.340000,33.779999,32.801167,327705240
2011-01-01,33.980000,41.160000,33.799999,40.400002,39.229340,488162325
2011-02-01,40.439999,42.400002,37.400002,41.200001,40.006165,499995840
2011-03-01,42.000000,45.759998,37.279999,37.900002,36.801788,803512300
2011-04-01,38.799999,46.160000,37.900002,44.200001,42.919228,589784620
2011-05-01,44.200001,45.480000,41.400002,44.759998,43.463005,469228400
2011-06-01,45.000000,45.279999,37.439999,42.240002,41.118359,615705920
2011-07-01,42.240002,43.720001,39.680000,40.560001,39.482971,365102645
2011-08-01,41.000000,41.720001,33.099998,37.000000,36.017498,753172215
2011-09-01,38.000000,38.400002,30.320000,32.840000,31.967962,597163680
2011-10-01,32.599998,38.000000,27.979998,36.619999,35.647587,522195605
2011-11-01,35.320000,37.599998,27.959999,29.040001,28.268869,654300680
2011-12-01,31.600000,31.860001,28.500000,31.219999,30.390982,350649095
2012-01-01,31.219999,38.000000,30.059999,37.939999,36.932537,388840825
2012-02-01,38.200001,40.919998,36.220001,40.400002,39.327221,415614265
2012-03-01,40.000000,45.080002,38.720001,43.320000,42.169682,466033675
2012-04-01,43.880001,49.080002,42.439999,48.759998,47.465218,322125425
2012-05-01,48.799999,49.759998,40.720001,42.680000,41.546669,535686040
2012-06-01,42.680000,48.200001,40.880001,45.200001,44.146908,341772660
2012-07-01,45.200001,48.119999,43.880001,46.360001,45.279888,314468720
2012-08-01,46.360001,50.560001,44.919998,47.400002,46.295658,398789285
2012-09-01,47.759998,53.000000,46.599998,52.840000,51.608913,289409245
2012-10-01,52.840000,54.919998,51.000000,54.799999,53.523247,241768530
2012-11-01,54.799999,56.200001,48.480000,50.639999,49.460171,433930575
2012-12-01,50.119999,51.000000,47.840000,49.799999,48.639736,295571490
2013-01-01,49.799999,54.599998,49.799999,54.279999,53.015362,432938905
2013-02-01,53.599998,55.759998,52.520000,53.639999,52.390270,266094155
2013-03-01,54.080002,57.200001,47.880001,49.360001,48.209988,715100815
2013-04-01,49.360001,53.720001,47.400002,53.240002,51.999596,421165865
2013-05-01,53.240002,62.000000,52.680000,61.560001,60.125751,449816475
2013-06-01,61.240002,63.000000,53.880001,60.840000,59.626583,433969460
2013-07-01,60.840000,72.800003,59.200001,70.360001,68.956726,450908885
2013-08-01,70.800003,76.000000,70.199997,72.720001,71.269653,403715720
2013-09-01,73.839996,84.480003,73.400002,81.360001,79.737328,397193065
2013-10-01,81.360001,91.000000,80.480003,84.639999,82.951912,352990390
2013-11-01,84.000000,89.879997,77.559998,89.680000,87.891396,470775510
2013-12-01,90.000000,100.400002,88.000000,98.919998,96.947098,343789180
2014-01-01,98.919998,109.000000,96.239998,108.699997,106.532051,558644260
2014-02-01,108.699997,126.199997,100.000000,124.500000,122.016930,592431500
2014-03-01,121.400002,129.199997,102.599998,107.900002,105.748016,800198970
2014-04-01,108.800003,115.300003,96.519997,96.639999,94.712563,673963385
2014-05-01,96.639999,114.500000,93.000000,109.300003,107.120094,483750288
2014-06-01,109.300003,119.500000,107.699997,118.199997,116.098671,357771683
2014-07-01,118.199997,130.899994,118.199997,128.399994,126.117348,405894788
2014-08-01,127.000000,134.000000,125.599998,126.500000,124.251129,396431663
2014-09-01,127.000000,129.899994,112.800003,115.500000,113.446686,450077887
