Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,6.421947,6.548057,4.734003,5.228745,2.722189,11652087148
2008-02-01,5.306352,6.053315,5.131737,5.869000,3.055518,6190612115
2008-03-01,5.704085,5.898102,4.753404,5.597376,2.914106,7808673162
2008-04-01,5.704085,6.887586,5.655581,6.819681,3.550461,7543105083
2008-05-01,6.819681,7.071902,6.383143,6.742074,3.510058,5794045396
2008-06-01,6.732373,6.771176,6.004811,6.092119,3.171679,4948538336
2008-07-01,6.092119,6.819681,5.616778,6.674168,3.509749,7216853591
2008-08-01,6.567459,6.790578,5.694385,6.208528,3.264882,4261868667
2008-09-01,6.063016,6.208528,4.064646,4.889216,2.571095,9086264939
2008-10-01,4.889216,4.947421,2.425206,3.589305,1.887510,13923119989
2008-11-01,3.589305,4.423576,3.298281,3.967638,2.086464,8895786805
2008-12-01,3.938535,4.860114,3.899732,4.122851,2.226669,7590673765
2009-01-01,4.122851,4.569089,3.511699,3.734818,2.017100,15257675218
2009-02-01,3.744519,4.229560,3.404990,3.831826,2.069491,5732471348
2009-03-01,3.705715,4.685499,3.550502,4.268363,2.305257,8304131496
2009-04-01,4.365371,4.734003,4.035543,4.384773,2.368128,7114486465
2009-05-01,4.384773,5.112335,4.384773,4.889216,2.640567,30347759408
2009-06-01,5.015327,5.995110,4.850413,5.830196,3.148771,15248180828
2009-07-01,5.830196,6.101819,5.199643,6.063016,3.323226,7700022193
2009-08-01,6.072717,6.140623,5.529471,5.674983,3.110539,8118423814
2009-09-01,5.723487,6.373443,5.558573,6.004811,3.291322,6376374988
2009-10-01,6.004811,6.887586,5.820495,6.606262,3.620987,5977126125
2009-11-01,6.412246,7.236816,6.324938,6.693570,3.668842,6010813164
2009-12-01,6.674168,7.052500,6.063016,6.470451,3.546546,5536461839
2010-01-01,6.470451,6.596562,5.723487,5.801094,3.179663,7665840253
2010-02-01,5.820495,5.995110,5.548872,5.694385,3.121174,4695222491
2010-03-01,5.791393,6.218229,5.742889,6.169725,3.381715,7484801458
2010-04-01,6.266733,6.742074,5.956307,6.227930,3.413618,6557999388
2010-05-01,6.121221,6.247332,5.810795,6.111520,3.349812,5945196181
2010-06-01,6.014512,6.557758,5.869000,6.150324,3.371081,5243627059
2010-07-01,6.150324,6.431647,5.917504,6.392844,3.614640,3831493327
2010-08-01,6.567459,6.693570,6.160024,6.227930,3.521394,2944402697
2010-09-01,6.227930,6.693570,6.208528,6.596562,3.729825,4595897679
2010-10-01,6.596562,7.353226,6.518955,7.168910,4.053442,5705489193
2010-11-01,7.314423,8.216600,6.910000,7.010000,3.963592,6705156731
2010-12-01,7.040000,7.310000,6.660000,6.970000,3.940975,4600649953
2011-01-01,7.000000,7.420000,6.760000,6.850000,3.873126,4531430315
2011-02-01,6.820000,6.910000,6.520000,6.810000,3.850508,4817075060
2011-03-01,6.860000,7.340000,6.730000,7.290000,4.121909,7135164151
2011-04-01,7.390000,7.580000,7.180000,7.340000,4.150180,4237043705
2011-05-01,7.340000,7.480000,7.010000,7.340000,4.150180,3958988584
2011-06-01,7.310000,7.350000,6.210000,6.450000,3.646956,6745161337
2011-07-01,6.450000,6.600000,5.920000,6.280000,3.662831,7524057758
2011-08-01,6.390000,6.400000,5.020000,5.780000,3.371205,14473036935
2011-09-01,5.890000,5.930000,4.700000,4.790000,2.793784,6976147462
2011-10-01,4.610000,5.970000,4.410000,5.810000,3.388702,6473361001
2011-11-01,5.720000,5.950000,5.110000,5.260000,3.067913,12933905730
2011-12-01,5.590000,5.730000,5.320000,5.420000,3.161234,5273440950
2012-01-01,5.420000,6.250000,5.370000,6.210000,3.622003,5112980999
2012-02-01,6.220000,6.600000,6.160000,6.520000,3.802812,5323192342
2012-03-01,6.500000,6.620000,5.910000,6.000000,3.499520,5011055483
2012-04-01,6.060000,6.220000,5.870000,6.040000,3.522851,4214893404
2012-05-01,6.050000,6.180000,5.050000,5.380000,3.137903,9102833922
2012-06-01,5.330000,5.560000,5.080000,5.290000,3.085411,5838813948
2012-07-01,5.290000,5.400000,4.710000,5.240000,3.196502,5524799624
2012-08-01,5.200000,5.430000,5.070000,5.100000,3.111100,4402028172
2012-09-01,5.080000,5.430000,4.930000,5.380000,3.281905,7108696844
2012-10-01,5.380000,5.880000,5.380000,5.840000,3.562515,5327831293
2012-11-01,5.810000,6.000000,5.640000,5.940000,3.623516,5476899119
2012-12-01,5.970000,6.370000,5.800000,6.220000,3.794322,4785505875
2013-01-01,6.220000,6.750000,6.220000,6.690000,4.081031,5278199303
2013-02-01,6.740000,6.750000,6.150000,6.400000,3.904125,3881231872
2013-03-01,6.400000,6.520000,6.040000,6.340000,3.867524,5806729804
2013-04-01,6.340000,6.570000,5.980000,6.500000,3.965128,4826145681
2013-05-01,6.500000,6.650000,6.240000,6.300000,3.843123,4526023595
2013-06-01,6.280000,6.400000,5.000000,5.490000,3.349007,7752433605
2013-07-01,5.490000,5.850000,5.130000,5.790000,3.695725,5607277371
2013-08-01,5.770000,6.040000,5.550000,5.680000,3.625512,4227451216
2013-09-01,5.780000,6.250000,5.730000,5.970000,3.810618,8112632334
2013-10-01,5.970000,6.120000,5.670000,6.020000,3.842532,4582023212
2013-11-01,6.090000,6.370000,5.780000,6.280000,4.008489,5578293974
2013-12-01,6.280000,6.350000,5.760000,5.850000,3.734022,4863099672
2014-01-01,5.850000,5.900000,5.250000,5.390000,3.440407,6219268837
2014-02-01,5.390000,5.480000,5.170000,5.330000,3.402109,4514505077
2014-03-01,5.300000,5.450000,4.890000,5.430000,3.465939,5852924703
2014-04-01,5.460000,5.640000,5.300000,5.350000,3.414875,4934146317
2014-05-01,5.350000,5.730000,5.250000,5.690000,3.631895,4412399997
2014-06-01,5.690000,5.880000,5.680000,5.860000,3.740405,4462473844
2014-07-01,5.860000,6.000000,5.510000,5.980000,3.817001,4232009604
2014-08-01,5.960000,5.990000,5.720000,5.760000,3.930005,3397607353
2014-09-01,5.740000,5.990000,5.430000,5.440000,3.711671,4713972174
2014-10-01,5.440000,5.800000,5.340000,5.780000,3.943651,4464338176
2014-11-01,5.800000,5.920000,5.550000,5.880000,4.011880,4364822286
2014-12-01,5.810000,6.420000,5.710000,6.370000,4.346203,9767465270
2015-01-01,6.370000,6.620000,6.060000,6.230000,4.250682,6241541150
2015-02-01,6.200000,6.510000,6.130000,6.450000,4.400787,3712230694
2015-03-01,6.530000,6.540000,6.120000,6.440000,4.393964,5579132675
2015-04-01,6.450000,7.930000,6.440000,7.550000,5.151309,11034828521
2015-05-01,7.550000,7.980000,7.250000,7.790000,5.315059,6969630115
2015-06-01,7.720000,7.980000,6.780000,7.080000,4.830632,9381324603
2015-07-01,7.080000,7.160000,6.100000,6.330000,4.545922,7453621862
2015-08-01,6.280000,6.480000,5.340000,5.450000,3.913945,6049991567
2015-09-01,5.450000,5.680000,5.020000,5.150000,3.698499,6508741502
2015-10-01,5.150000,5.950000,5.150000,5.630000,4.043214,5122171783
2015-11-01,5.550000,5.850000,5.270000,5.330000,3.827767,5477010439
2015-12-01,5.340000,5.460000,5.050000,5.310000,3.813404,4746074442
2016-01-01,5.310000,5.310000,4.460000,4.730000,3.396874,6330226382
2016-02-01,4.750000,4.780000,4.310000,4.550000,3.267606,3963553239
2016-03-01,4.600000,5.090000,4.520000,4.950000,3.554868,4912134458
2016-04-01,4.960000,5.150000,4.750000,4.990000,3.583594,4730585694
2016-05-01,4.990000,5.040000,4.500000,5.010000,3.597957,5596484203
2016-06-01,4.970000,5.240000,4.730000,5.120000,3.676954,7506360080
