Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,8.200000,8.200000,6.100000,6.300000,6.300000,75535478
2008-02-01,6.300000,6.800000,6.100000,6.300000,6.300000,33071590
2008-03-01,6.200000,6.300000,4.100000,5.400000,5.400000,96738971
2008-04-01,5.400000,7.300000,4.800000,5.900000,5.900000,231173086
2008-05-01,6.100000,6.900000,4.800000,4.800000,4.800000,219241801
2008-06-01,4.800000,5.500000,4.350000,4.450000,4.450000,111624608
2008-07-01,4.450000,4.750000,3.950000,4.200000,4.200000,73232400
2008-08-01,4.150000,4.250000,3.300000,3.650000,3.650000,67727111
2008-09-01,3.600000,4.000000,2.000000,2.340000,2.340000,100505715
2008-10-01,2.350000,2.600000,1.060000,1.440000,1.440000,105593866
2008-11-01,1.440000,2.500000,1.350000,1.490000,1.490000,96192456
2008-12-01,1.500000,3.500000,1.480000,3.250000,3.250000,352675194
2009-01-01,3.300000,3.850000,2.400000,2.750000,2.750000,180283516
2009-02-01,2.750000,3.150000,2.340000,2.700000,2.700000,166877391
2009-03-01,2.650000,3.150000,2.490000,2.950000,2.950000,94846521
2009-04-01,3.000000,3.550000,2.650000,3.050000,3.050000,151693492
2009-05-01,3.050000,4.350000,3.050000,4.100000,4.100000,301871386
2009-06-01,4.200000,4.750000,3.550000,3.900000,3.900000,245589662
2009-07-01,3.900000,4.550000,3.750000,4.200000,4.200000,170901815
2009-08-01,4.200000,4.350000,3.600000,3.700000,3.700000,91092028
2009-09-01,3.750000,4.200000,3.600000,3.650000,3.650000,69874541
2009-10-01,3.650000,4.100000,3.500000,3.850000,3.850000,70736972
2009-11-01,3.850000,6.900000,3.800000,4.800000,4.800000,734542397
2009-12-01,4.850000,5.200000,4.350000,5.000000,5.000000,173294204
2010-01-01,5.000000,7.300000,5.000000,5.800000,5.800000,380525046
2010-02-01,5.800000,8.300000,5.600000,8.200000,8.200000,383483155
2010-03-01,8.200000,10.900000,7.500000,10.000000,10.000000,435574117
2010-04-01,10.100000,10.600000,8.300000,8.500000,8.500000,317479848
2010-05-01,8.500000,8.500000,5.300000,6.800000,6.800000,259836515
2010-06-01,6.800000,7.000000,6.100000,6.300000,6.300000,135568445
2010-07-01,6.200000,6.300000,4.800000,5.400000,5.400000,266597408
2010-08-01,5.400000,6.000000,4.900000,4.950000,4.950000,253727336
2010-09-01,4.950000,5.700000,4.800000,5.600000,5.600000,207728795
2010-10-01,5.500000,6.900000,5.400000,6.500000,6.500000,273753943
2010-11-01,6.500000,7.000000,5.600000,5.700000,5.700000,282196224
2010-12-01,5.800000,6.400000,5.600000,5.600000,5.600000,124045177
2011-01-01,5.700000,6.500000,5.600000,6.100000,6.100000,119440986
2011-02-01,6.100000,7.500000,5.700000,6.200000,6.200000,317550952
2011-03-01,6.300000,6.400000,5.700000,6.000000,6.000000,142733450
2011-04-01,6.000000,7.100000,5.900000,7.000000,7.000000,225206061
2011-05-01,7.000000,9.400000,6.200000,6.600000,6.600000,1154921704
2011-06-01,6.500000,6.700000,5.800000,6.300000,6.300000,165438390
2011-07-01,6.300000,6.300000,4.550000,4.650000,4.650000,180813356
2011-08-01,4.700000,4.850000,3.350000,4.200000,4.200000,171444572
2011-09-01,4.250000,4.950000,3.500000,3.900000,3.900000,139100741
2011-10-01,3.800000,4.600000,3.500000,4.350000,4.350000,171853557
2011-11-01,4.250000,4.500000,3.700000,3.800000,3.800000,82263513
2011-12-01,3.900000,4.000000,3.600000,3.750000,3.750000,47326060
2012-01-01,3.750000,4.250000,3.650000,4.100000,4.100000,52556177
2012-02-01,4.150000,4.650000,4.050000,4.100000,4.100000,136276946
2012-03-01,4.000000,4.200000,3.750000,3.850000,3.850000,79023619
2012-04-01,3.850000,4.250000,3.800000,3.850000,3.850000,63984354
2012-05-01,3.850000,3.950000,2.500000,2.600000,2.600000,237396818
2012-06-01,2.550000,2.650000,2.360000,2.550000,2.550000,189666013
2012-07-01,2.550000,3.100000,2.380000,2.850000,2.850000,107139531
2012-08-01,2.850000,3.250000,2.650000,2.950000,2.950000,149740470
2012-09-01,2.950000,3.100000,2.750000,2.850000,2.850000,83315856
2012-10-01,2.850000,3.300000,2.800000,3.050000,3.050000,96721425
2012-11-01,3.050000,3.850000,3.050000,3.750000,3.750000,226226885
2012-12-01,3.750000,3.950000,3.650000,3.850000,3.850000,102942641
2013-01-01,3.850000,5.100000,3.850000,4.850000,4.850000,362109790
2013-02-01,4.800000,5.300000,4.050000,4.450000,4.450000,245208339
2013-03-01,4.450000,4.950000,4.350000,4.600000,4.600000,179796207
2013-04-01,4.600000,5.900000,4.400000,5.600000,5.600000,310826421
2013-05-01,5.600000,7.300000,5.500000,6.300000,6.300000,554063539
2013-06-01,6.300000,6.800000,5.000000,5.700000,5.700000,283788974
2013-07-01,5.700000,6.700000,5.500000,5.700000,5.700000,235535041
2013-08-01,5.600000,6.400000,5.200000,5.500000,5.500000,298422247
2013-09-01,5.500000,5.900000,5.100000,5.200000,5.200000,298690576
2013-10-01,5.200000,6.400000,5.200000,5.800000,5.800000,410498037
2013-11-01,5.600000,6.400000,5.400000,6.400000,6.400000,332326862
2013-12-01,6.400000,6.500000,5.800000,6.100000,6.100000,206528152
2014-01-01,6.100000,8.500000,6.000000,7.900000,7.900000,773926864
2014-02-01,7.900000,8.800000,6.100000,6.700000,6.700000,826900849
2014-03-01,6.700000,6.900000,5.700000,5.800000,5.800000,324534320
2014-04-01,5.800000,6.700000,5.700000,6.300000,6.300000,368611394
2014-05-01,6.300000,6.800000,6.000000,6.600000,6.600000,191228953
2014-06-01,6.600000,6.900000,5.900000,6.700000,6.700000,643866811
2014-07-01,6.700000,7.900000,6.600000,7.200000,7.200000,571243188
2014-08-01,7.000000,7.500000,6.600000,7.300000,7.300000,413462564
2014-09-01,7.200000,8.400000,7.100000,8.000000,8.000000,393615125
