Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,17.240000,17.240000,11.260000,13.600000,9.534179,335266089
2008-02-01,13.780000,16.420000,13.600000,14.640000,10.263262,289143345
2008-03-01,14.280000,14.520000,10.100000,13.500000,9.464073,367199221
2008-04-01,13.500000,16.500000,12.680000,16.059999,11.258741,338845116
2008-05-01,16.559999,16.900000,12.040000,13.220000,9.267782,338705925
2008-06-01,13.420000,14.120000,9.900000,10.800000,7.614141,300340261
2008-07-01,10.600000,12.400000,9.850000,10.340000,7.289834,494537339
2008-08-01,10.340000,10.340000,7.200000,9.240000,6.514321,527430512
2008-09-01,9.240000,10.200000,6.500000,8.060000,5.682405,529148846
2008-10-01,8.100000,9.850000,5.900000,7.600000,5.358098,525755221
2008-11-01,7.700000,10.300000,7.100000,8.930000,6.322369,349358584
2008-12-01,8.840000,10.960000,8.100000,9.500000,6.725924,354456538
2009-01-01,9.500000,10.540000,8.490000,9.150000,6.478127,263169655
2009-02-01,9.000000,9.310000,7.700000,8.450000,5.982533,293875343
2009-03-01,8.450000,12.200000,7.800000,12.000000,8.495905,385949225
2009-04-01,11.760000,14.400000,11.760000,14.040000,9.940207,375316598
2009-05-01,14.040000,18.240000,13.540000,18.000000,12.743855,722318301
2009-06-01,17.480000,18.260000,15.200000,17.180000,12.235020,405505386
2009-07-01,17.180000,19.780001,15.240000,18.940001,13.488432,425929616
2009-08-01,19.299999,19.740000,15.680000,16.219999,11.551341,380217626
2009-09-01,16.219999,18.500000,15.820000,16.980000,12.092586,305723947
2009-10-01,16.980000,20.850000,16.639999,19.120001,13.616624,288601277
2009-11-01,18.420000,19.660000,17.160000,17.980000,12.842774,268757913
2009-12-01,17.980000,20.450001,16.379999,17.680000,12.628489,337224597
2010-01-01,17.639999,18.059999,13.640000,14.080000,10.057079,405633143
2010-02-01,14.200000,16.480000,14.080000,16.160000,11.542782,255604680
2010-03-01,16.500000,17.480000,15.280000,16.879999,12.057067,368114146
2010-04-01,17.000000,18.080000,13.640000,14.480000,10.342792,431114701
2010-05-01,13.940000,15.560000,12.900000,14.720000,10.514218,428745258
2010-06-01,14.680000,16.500000,13.920000,14.800000,10.709969,238856928
2010-07-01,14.900000,16.879999,14.220000,16.480000,11.925694,227412573
2010-08-01,16.980000,17.639999,14.460000,14.880000,10.767860,311295852
2010-09-01,14.860000,17.500000,14.760000,15.780000,11.419144,330115841
2010-10-01,16.040001,17.240000,15.180000,15.280000,11.121272,268364274
2010-11-01,15.400000,16.520000,13.880000,13.920000,10.131420,283883181
2010-12-01,13.980000,14.560000,13.400000,14.200000,10.335217,189358570
2011-01-01,14.160000,15.680000,13.720000,14.060000,10.233318,208225063
2011-02-01,14.000000,14.420000,12.040000,12.640000,9.199798,212757321
2011-03-01,12.780000,14.860000,11.900000,14.560000,10.597235,331361850
2011-04-01,14.800000,15.920000,13.340000,13.400000,9.752948,269259874
2011-05-01,13.400000,14.320000,12.680000,13.980000,10.175094,292752740
2011-06-01,14.000000,14.160000,12.280000,14.080000,10.409348,226381528
2011-07-01,14.080000,15.520000,14.080000,15.280000,11.296508,292118702
2011-08-01,15.500000,15.600000,11.020000,12.700000,9.389113,320861638
2011-09-01,12.800000,13.180000,8.160000,8.490000,6.276659,394433254
2011-10-01,8.300000,13.520000,7.280000,11.540000,8.531527,505457571
2011-11-01,11.440000,12.600000,9.830000,11.400000,8.428022,384640591
2011-12-01,12.880000,13.280000,11.500000,12.480000,9.302387,265996610
2012-01-01,12.480000,14.500000,11.640000,13.700000,10.211758,205140775
2012-02-01,13.600000,15.480000,13.220000,14.840000,11.061494,296527225
2012-03-01,14.800000,14.800000,12.500000,13.420000,10.003049,447285143
2012-04-01,13.320000,15.180000,13.100000,14.940000,11.136032,235764397
2012-05-01,14.940000,15.240000,12.400000,14.640000,10.912418,222587376
2012-06-01,14.400000,16.100000,14.000000,15.800000,11.777062,246117358
2012-07-01,15.800000,16.820000,14.600000,15.740000,11.862402,230450604
2012-08-01,15.440000,15.720000,14.680000,14.980000,11.289631,168935926
2012-09-01,15.000000,17.900000,14.900000,17.080000,12.872291,204490538
2012-10-01,17.080000,17.740000,16.219999,17.700001,13.339550,142120196
2012-11-01,17.680000,21.150000,17.299999,20.700001,15.658451,205333485
2012-12-01,21.150000,22.250000,19.879999,21.100000,15.961033,210035074
2013-01-01,21.100000,24.500000,21.100000,23.600000,17.852150,224669301
2013-02-01,23.200001,23.600000,20.900000,22.650000,17.133524,164518887
2013-03-01,22.350000,22.700001,18.820000,21.700001,16.414902,308486041
2013-04-01,21.700001,23.850000,20.500000,23.500000,17.776506,130421885
2013-05-01,23.500000,24.500000,22.350000,23.850000,18.041258,178285263
2013-06-01,23.650000,24.700001,18.120001,21.200001,16.036671,250512032
2013-07-01,21.200001,22.299999,19.080000,21.299999,16.303757,244946841
2013-08-01,21.500000,24.200001,20.150000,21.200001,16.227217,182687104
2013-09-01,21.200001,23.900000,21.200001,22.049999,16.877832,150210494
2013-10-01,22.049999,23.500000,20.799999,22.450001,17.184010,142973976
2013-11-01,22.500000,22.799999,20.400000,21.350000,16.394636,166721284
2013-12-01,21.250000,21.700001,18.940001,19.219999,14.759010,131540694
2014-01-01,19.219999,20.100000,17.760000,18.280001,14.037189,155258482
2014-02-01,18.280001,19.480000,16.959999,17.559999,13.484299,153175484
2014-03-01,17.299999,17.680000,14.940000,17.020000,13.069635,180833067
2014-04-01,17.280001,19.080000,15.380000,15.960000,12.255662,269371343
2014-05-01,15.960000,16.040001,14.160000,15.700000,12.056007,299129989
2014-06-01,15.700000,15.860000,13.620000,14.180000,10.888803,214404200
2014-07-01,14.180000,18.559999,14.140000,18.200001,14.318188,453444450
2014-08-01,17.680000,18.980000,16.620001,17.740000,13.956303,351632392
2014-09-01,17.740000,19.000000,15.780000,16.000000,12.587419,219714854
2014-10-01,16.000000,18.480000,16.000000,18.440001,14.582487,266271200
2014-11-01,18.840000,19.920000,16.660000,19.600000,15.499825,281358888
2014-12-01,19.120001,20.799999,18.520000,20.450001,16.172010,272814685
2015-01-01,20.450001,23.600000,19.540001,19.879999,15.721248,308587463
2015-02-01,19.879999,21.299999,19.180000,20.600000,16.290634,211132371
2015-03-01,21.299999,23.900000,18.799999,21.900000,17.318682,323635189
2015-04-01,22.100000,28.350000,21.750000,28.250000,22.340309,347753788
2015-05-01,28.250000,29.100000,24.200001,25.100000,19.849264,819553723
2015-06-01,25.450001,26.299999,23.600000,25.150000,19.888807,326484347
2015-07-01,25.150000,25.350000,18.219999,21.750000,17.494017,381553923
2015-08-01,21.850000,22.500000,17.400000,19.340000,15.555601,399016550
2015-09-01,19.160000,20.150000,17.400000,18.160000,14.606497,289642443
2015-10-01,18.160000,21.850000,18.160000,20.250000,16.368721,263748228
2015-11-01,20.000000,22.750000,19.940001,20.850000,16.853724,229497444
2015-12-01,21.100000,23.799999,20.299999,22.600000,18.268305,241789853
2016-01-01,22.600000,22.600000,16.920000,18.940001,15.309808,339707414
2016-02-01,18.920000,19.639999,17.080000,18.559999,15.002640,217388369
2016-03-01,19.000000,21.000000,18.700001,19.900000,16.085808,320759875
2016-04-01,19.900000,20.549999,18.740000,19.160000,15.487642,218734403
2016-05-01,19.160000,19.260000,17.139999,18.580000,15.018810,246957285
2016-06-01,18.500000,19.580000,16.500000,18.100000,14.630808,250294595
2016-07-01,18.100000,19.980000,17.799999,19.280001,15.997733,227539301
2016-08-01,19.440001,22.600000,19.000000,21.850000,18.130209,334140653
2016-09-01,21.650000,23.850000,21.250000,21.600000,17.922770,336656174
2016-10-01,21.799999,21.900000,19.100000,19.340000,16.110998,342116345
2016-11-01,19.340000,19.840000,18.200001,18.840000,15.694477,257403050
2016-12-01,18.940001,19.299999,17.040001,17.440001,14.528220,216592978
2017-01-01,17.440001,19.480000,17.180000,19.340000,16.110998,232657201
2017-02-01,19.360001,22.049999,19.080000,21.200001,17.660452,293155129
2017-03-01,21.250000,23.049999,20.299999,21.000000,17.493845,429664996
2017-04-01,21.500000,22.950001,21.200001,21.600000,17.993668,221274513
2017-05-01,21.600000,23.299999,19.860001,22.900000,19.076618,255660893
2017-06-01,22.900000,23.750000,21.400000,22.750000,18.951664,210352706
2017-07-01,22.799999,25.600000,22.100000,25.100000,21.487341,203397452
2017-08-01,25.250000,25.400000,22.000000,24.450001,20.930897,341198518
2017-09-01,24.450001,27.450001,23.299999,23.900000,20.460058,323830684
2017-10-01,23.900000,25.450001,23.049999,23.250000,19.981512,197919671
2017-11-01,23.600000,24.200001,21.400000,22.450001,19.293978,250124981
2017-12-01,22.600000,23.299999,21.049999,23.000000,19.766659,173067077
2018-01-01,23.000000,32.000000,23.000000,31.200001,26.813902,569816525
2018-02-01,31.750000,34.450001,26.250000,27.950001,24.020788,399714899
2018-03-01,27.100000,31.400000,26.900000,28.549999,24.536436,306740856
2018-04-01,28.549999,30.400000,27.799999,29.750000,25.567743,222434738
2018-05-01,29.750000,31.100000,27.700001,28.799999,24.751291,205675481
2018-06-01,28.549999,32.099998,24.600000,26.450001,22.731659,258719652
2018-07-01,26.450001,29.500000,24.350000,28.700001,25.362312,262025337
2018-08-01,28.600000,30.100000,25.650000,27.350000,24.169312,302049226
2018-09-01,27.299999,29.549999,24.549999,27.400000,24.213495,221674326
2018-10-01,27.400000,27.400000,23.799999,26.600000,23.610580,239022460
2018-11-01,27.049999,29.950001,26.750000,29.000000,25.740856,259550039
2018-12-01,30.000000,32.099998,27.799999,30.100000,26.717234,220721461
2019-01-01,30.100000,31.750000,28.000000,30.500000,27.072279,326330427
2019-02-01,30.799999,30.900000,28.799999,29.299999,26.007141,194307557
2019-03-01,29.549999,35.349998,29.150000,35.200001,31.244070,283919937
2019-04-01,36.849998,37.349998,32.500000,34.150002,30.312078,275306204
2019-05-01,34.150002,34.599998,30.950001,31.900000,28.314943,208107889
2019-06-01,31.900000,35.250000,31.450001,34.400002,30.533979,178477844
2019-07-01,34.400002,36.349998,33.450001,33.750000,30.998426,173336833
2019-08-01,32.599998,33.650002,29.500000,31.900000,29.299253,244646372
2019-09-01,32.049999,34.450001,30.850000,32.849998,30.171803,163128460
2019-10-01,32.849998,37.500000,32.450001,33.450001,30.859196,490020647
2019-11-01,33.500000,35.450001,32.750000,33.849998,31.228212,246566037
2019-12-01,34.250000,38.950001,34.250000,38.799999,35.794827,205408875
2020-01-01,38.799999,40.450001,32.200001,32.700001,30.167288,232523963
2020-02-01,32.299999,36.750000,32.299999,35.950001,33.165565,307526745
2020-03-01,36.200001,38.349998,27.049999,32.000000,29.521503,447031262
2020-04-01,30.600000,33.450001,30.200001,31.799999,29.336992,230315825
2020-05-01,31.799999,31.950001,28.200001,30.549999,28.183809,257501823
2020-06-01,32.000000,34.049999,29.200001,29.350000,27.076756,253330796
2020-07-01,29.350000,35.849998,29.350000,32.299999,30.771187,295658420
2020-08-01,32.099998,37.349998,31.549999,35.849998,34.153160,177583235
2020-09-01,35.849998,38.450001,32.700001,34.900002,33.248127,221454555
2020-10-01,34.900002,37.500000,30.799999,31.549999,30.202280,176047898
2020-11-01,31.799999,39.500000,31.200001,33.599998,32.164711,271574696
2020-12-01,34.299999,34.700001,30.049999,31.900000,30.537329,278631849
2021-01-01,31.900000,35.650002,30.200001,30.900000,29.580046,348514415
2021-02-01,31.350000,37.799999,29.150000,36.849998,35.275879,282533282
2021-03-01,36.500000,41.299999,35.049999,37.650002,36.041706,375608654
2021-04-01,37.250000,38.049999,35.900002,36.450001,34.892967,157365445
2021-05-01,36.400002,38.000000,35.099998,36.349998,34.797237,177338327
2021-06-01,36.250000,37.200001,31.350000,31.450001,30.106552,185568707
2021-07-01,31.650000,32.200001,25.750000,26.000000,25.816055,341924743
2021-08-01,26.400000,31.299999,25.500000,28.950001,28.745184,390175051
2021-09-01,28.450001,33.000000,26.850000,32.849998,32.617592,381168557
2021-10-01,31.700001,34.950001,30.150000,30.299999,30.299999,309693382
2021-11-01,30.299999,35.750000,28.200001,32.450001,32.450001,383533344
2021-12-01,32.599998,36.200001,32.049999,32.799999,32.799999,222116676
2022-01-01,33.200001,39.349998,32.099998,37.750000,37.750000,280155402
