Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,2.220000,2.300000,1.600000,1.700000,0.538905,7961000
2008-02-01,1.700000,2.000000,1.700000,1.800000,0.570606,9276735
2008-03-01,1.850000,1.890000,1.550000,1.780000,0.564265,4616732
2008-04-01,1.740000,1.850000,1.580000,1.720000,0.545245,4853079
2008-05-01,1.740000,2.250000,1.740000,2.020000,0.640346,12232074
2008-06-01,2.000000,2.030000,1.800000,1.830000,0.580116,3132629
2008-07-01,1.820000,2.150000,1.700000,1.830000,0.591835,2004642
2008-08-01,1.860000,1.970000,1.640000,1.750000,0.565962,4242425
2008-09-01,1.710000,1.750000,1.150000,1.350000,0.436600,5015025
2008-10-01,1.350000,1.360000,0.750000,0.770000,0.249024,5199718
2008-11-01,0.820000,1.120000,0.800000,0.890000,0.287832,28314287
2008-12-01,0.920000,1.220000,0.900000,0.950000,0.307237,17281835
2009-01-01,0.900000,1.070000,0.840000,0.900000,0.296507,7618209
2009-02-01,0.890000,0.950000,0.850000,0.920000,0.303096,3938223
2009-03-01,0.890000,1.170000,0.800000,1.080000,0.355808,14686235
2009-04-01,1.060000,1.450000,1.060000,1.400000,0.461233,10931933
2009-05-01,1.400000,1.770000,1.400000,1.660000,0.546891,17783649
2009-06-01,1.660000,1.890000,1.600000,1.660000,0.546891,10821004
2009-07-01,1.660000,1.870000,1.600000,1.860000,0.623789,4634863
2009-08-01,1.870000,2.100000,1.810000,2.000000,0.670741,6120263
2009-09-01,2.000000,2.660000,2.000000,2.620000,0.878671,14804103
2009-10-01,2.620000,2.900000,2.480000,2.600000,0.871963,16836830
2009-11-01,2.530000,4.000000,2.450000,3.670000,1.230810,79823080
2009-12-01,3.690000,4.000000,3.330000,3.730000,1.250932,23603667
2010-01-01,3.700000,5.080000,3.650000,4.240000,1.485170,51584317
2010-02-01,4.250000,4.890000,4.020000,4.680000,1.639291,11947895
2010-03-01,4.890000,6.220000,4.450000,6.210000,2.175213,51765854
2010-04-01,6.150000,6.770000,5.400000,5.750000,2.014086,28503049
2010-05-01,5.790000,6.000000,4.750000,5.200000,1.821434,12139421
2010-06-01,5.200000,5.300000,4.300000,4.600000,1.611269,9414432
2010-07-01,4.500000,4.600000,3.640000,4.080000,1.450358,11655714
2010-08-01,4.060000,4.570000,3.950000,4.570000,1.624543,12252812
2010-09-01,4.620000,5.250000,4.600000,4.810000,1.709858,6834658
2010-10-01,4.900000,5.340000,4.750000,4.980000,1.770290,9322676
2010-11-01,5.000000,6.200000,4.700000,5.810000,2.065338,33842566
2010-12-01,5.800000,6.050000,5.500000,5.650000,2.008461,7655520
2011-01-01,5.650000,5.930000,5.310000,5.400000,1.965498,6569001
2011-02-01,5.300000,5.700000,5.250000,5.610000,2.041934,2519476
2011-03-01,5.580000,6.250000,5.250000,5.990000,2.180248,9487109
2011-04-01,5.960000,6.140000,5.550000,5.850000,2.129290,5516096
2011-05-01,5.850000,6.100000,5.550000,5.920000,2.154769,3201709
