Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,13.578947,13.828947,9.657894,11.263157,10.817190,87009488
2008-02-01,11.578947,16.000000,11.513157,14.760000,14.175576,38916843
2008-03-01,14.440000,15.100000,11.100000,14.300000,13.829367,31819411
2008-04-01,14.000000,15.060000,11.660000,13.660000,13.210429,69019503
2008-05-01,13.660000,13.980000,11.520000,12.340000,11.933872,25795377
2008-06-01,12.780000,12.780000,9.770000,10.000000,9.670886,50235646
2008-07-01,10.000000,10.100000,6.000000,7.950000,7.688354,60018229
2008-08-01,8.190000,9.550000,7.760000,9.010000,8.713470,60845658
2008-09-01,9.050000,16.000000,7.280000,12.840000,12.417417,101682690
2008-10-01,12.840000,18.059999,11.100000,13.000000,12.572150,260944671
2008-11-01,13.500000,14.600000,9.390000,11.820000,11.430986,102819209
2008-12-01,11.800000,13.840000,10.800000,12.700000,12.282024,130750504
2009-01-01,12.700000,15.500000,12.020000,14.680000,14.196858,91102989
2009-02-01,15.000000,17.059999,14.000000,15.160000,14.661061,115009106
2009-03-01,14.880000,15.860000,13.380000,14.260000,13.790683,124246360
2009-04-01,14.600000,21.500000,14.100000,20.350000,19.680250,182707335
2009-05-01,20.350000,36.500000,20.350000,30.700001,29.689619,209917512
2009-06-01,30.950001,35.450001,28.500000,31.049999,30.028097,113039336
2009-07-01,31.049999,45.799999,30.350000,42.900002,41.488098,114682484
2009-08-01,43.799999,51.750000,38.799999,48.599998,47.000496,110931453
2009-09-01,48.599998,71.949997,46.599998,63.849998,61.748600,188707635
2009-10-01,63.849998,88.400002,59.450001,72.400002,70.017212,219981608
2009-11-01,69.800003,76.000000,62.000000,67.750000,65.520256,169163419
2009-12-01,69.500000,77.900002,62.900002,68.500000,66.245567,93304729
2010-01-01,68.449997,71.800003,52.250000,57.000000,55.124043,84468205
2010-02-01,55.799999,62.480000,55.299999,60.400002,58.412144,51645484
2010-03-01,62.009998,80.849998,62.009998,77.300003,74.755943,75657801
2010-04-01,78.500000,82.809998,69.900002,70.870003,68.820808,34741672
2010-05-01,71.180000,72.750000,54.450001,64.760002,63.142090,80697271
2010-06-01,64.900002,66.519997,58.099998,58.299999,56.843483,66204933
2010-07-01,58.299999,60.099998,48.400002,53.549999,52.212151,50287002
2010-08-01,54.500000,57.750000,43.049999,44.259998,43.154240,87584004
2010-09-01,45.119999,62.500000,45.119999,62.349998,60.792294,131928430
2010-10-01,62.299999,64.089996,46.250000,46.700001,45.533283,82866959
2010-11-01,48.000000,50.900002,45.119999,47.099998,45.923294,48257242
2010-12-01,47.240002,48.750000,39.549999,40.849998,39.829433,37557233
2011-01-01,40.549999,44.450001,37.500000,38.099998,37.148140,78799503
2011-02-01,38.049999,38.700001,29.600000,30.700001,29.933018,102583647
2011-03-01,31.299999,37.299999,28.799999,29.799999,29.055500,197479714
2011-04-01,29.799999,30.850000,27.299999,28.100000,27.397972,104739946
2011-05-01,28.100000,29.200001,24.799999,25.350000,24.716675,85491883
2011-06-01,25.400000,25.950001,21.000000,25.150000,24.521671,127132642
2011-07-01,25.150000,28.700001,21.450001,25.750000,25.106682,108279986
2011-08-01,26.250000,27.150000,14.620000,16.260000,15.853773,144840097
2011-09-01,16.240000,16.719999,10.920000,13.180000,12.850722,84806096
