Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,1.080000,1.210000,0.850000,0.920000,0.844973,5360000
2008-02-01,0.830000,0.990000,0.830000,0.860000,0.789866,7188131
2008-03-01,0.860000,0.930000,0.660000,0.790000,0.725574,8244000
2008-04-01,0.750000,0.850000,0.700000,0.790000,0.725574,3868000
2008-05-01,0.790000,0.860000,0.680000,0.770000,0.707205,6092000
2008-06-01,0.720000,0.760000,0.550000,0.730000,0.670467,1704000
2008-07-01,0.730000,0.750000,0.510000,0.630000,0.578623,3620000
2008-08-01,0.600000,0.630000,0.550000,0.580000,0.532700,3456000
2008-09-01,0.560000,0.580000,0.350000,0.400000,0.367379,3636000
2008-10-01,0.400000,1.440000,0.290000,0.335000,0.307680,2692000
2008-11-01,0.380000,0.450000,0.380000,0.450000,0.413302,164000
2008-12-01,0.330000,0.430000,0.330000,0.330000,0.303088,316000
2009-01-01,0.400000,0.450000,0.320000,0.450000,0.413302,316000
2009-02-01,0.400000,0.590000,0.360000,0.430000,0.394933,1941000
2009-03-01,0.450000,0.520000,0.410000,0.470000,0.431671,3581672
2009-04-01,0.490000,0.560000,0.400000,0.560000,0.514331,3572000
2009-05-01,0.560000,0.670000,0.485000,0.630000,0.578623,5941400
2009-06-01,0.680000,0.680000,0.530000,0.580000,0.532700,5282000
2009-07-01,0.550000,0.650000,0.520000,0.600000,0.551069,8808000
2009-08-01,0.570000,0.630000,0.500000,0.510000,0.468409,9562000
2009-09-01,0.510000,0.980000,0.490000,0.870000,0.799050,74960000
2009-10-01,0.800000,1.100000,0.780000,1.020000,0.936818,28152000
2009-11-01,0.970000,1.680000,0.940000,1.670000,1.533809,47716000
2009-12-01,1.650000,2.150000,1.410000,1.600000,1.469518,36159500
2010-01-01,1.640000,1.980000,1.520000,1.930000,1.772606,22545000
2010-02-01,1.820000,1.850000,1.520000,1.730000,1.588916,6812000
2010-03-01,1.670000,2.480000,1.670000,2.320000,2.130801,37636000
2010-04-01,2.350000,3.100000,2.280000,3.000000,2.755346,36887400
2010-05-01,3.000000,3.050000,2.290000,2.890000,2.701379,24792000
2010-06-01,2.900000,2.980000,2.700000,2.930000,2.738768,8156300
2010-07-01,2.830000,3.000000,2.600000,2.970000,2.776158,8387500
2010-08-01,2.970000,3.700000,2.970000,3.000000,2.804200,20260000
2010-09-01,3.020000,3.100000,2.590000,2.990000,2.794852,21805000
2010-10-01,2.990000,3.400000,2.720000,3.280000,3.065925,17430400
2010-11-01,3.250000,4.380000,3.180000,4.320000,4.038048,24565486
2010-12-01,4.300000,4.660000,3.940000,4.200000,3.925879,12119380
2011-01-01,4.280000,4.400000,4.010000,4.240000,3.963268,8116000
2011-02-01,4.240000,4.310000,3.890000,4.050000,3.785670,3364000
2011-03-01,4.070000,4.300000,3.780000,4.020000,3.757628,8227200
2011-04-01,4.000000,4.020000,3.600000,3.800000,3.551986,6360000
2011-05-01,3.800000,3.990000,3.270000,3.600000,3.409316,5552000
2011-06-01,3.630000,3.640000,2.390000,2.820000,2.670631,8336650
2011-07-01,2.820000,2.840000,2.520000,2.600000,2.462284,2024000
2011-08-01,2.600000,2.760000,2.020000,2.550000,2.414932,4181200
2011-09-01,2.410000,2.500000,2.200000,2.490000,2.358111,3913200
2011-10-01,2.400000,2.780000,2.280000,2.700000,2.556987,5034000
2011-11-01,2.700000,3.240000,2.650000,3.150000,2.983152,5373600
2011-12-01,3.350000,3.350000,3.000000,3.200000,3.030504,1608000
2012-01-01,3.200000,3.200000,2.910000,3.100000,2.935800,3664000
2012-02-01,3.000000,3.100000,2.800000,2.990000,2.831627,2442000
2012-03-01,2.800000,3.000000,2.770000,2.980000,2.822156,2170000
2012-04-01,2.980000,3.000000,2.600000,2.790000,2.642220,1194000
2012-05-01,2.790000,2.920000,2.610000,2.800000,2.651690,1518000
2012-06-01,2.800000,2.800000,2.600000,2.700000,2.632193,324000
2012-07-01,2.700000,2.890000,2.550000,2.680000,2.612695,4651200
2012-08-01,2.680000,3.000000,2.550000,2.770000,2.700435,1734000
2012-09-01,2.770000,2.880000,2.580000,2.840000,2.768677,1236000
2012-10-01,2.840000,2.840000,2.600000,2.810000,2.739430,2146000
2012-11-01,2.730000,2.860000,2.650000,2.750000,2.680937,3154000
2012-12-01,2.700000,2.990000,2.620000,2.800000,2.729681,5682000
2013-01-01,2.800000,2.870000,2.570000,2.730000,2.661439,4986031
2013-02-01,2.750000,2.890000,2.700000,2.830000,2.758928,6770000
2013-03-01,2.850000,3.360000,2.850000,3.110000,3.031896,4574000
2013-04-01,3.110000,3.190000,2.850000,3.120000,3.041645,3736000
2013-05-01,3.120000,6.190000,3.100000,6.160000,6.005299,29426000
2013-06-01,6.180000,6.390000,4.500000,5.300000,5.166897,21713000
2013-07-01,5.300000,6.310000,5.090000,5.800000,5.732063,14301923
2013-08-01,5.880000,6.150000,5.420000,5.500000,5.435577,9699633
2013-09-01,5.500000,7.160000,5.430000,7.160000,7.076133,23578710
2013-10-01,7.160000,8.250000,7.150000,7.750000,7.659222,17558428
2013-11-01,7.830000,8.800000,7.020000,8.600000,8.499267,27556700
2013-12-01,8.500000,8.680000,7.800000,8.660000,8.558563,11807650
2014-01-01,8.660000,12.000000,8.610000,10.860000,10.732794,46872500
2014-02-01,10.860000,11.080000,9.800000,10.000000,9.882868,28464000
2014-03-01,9.980000,10.680000,7.400000,7.820000,7.728403,39629000
2014-04-01,7.920000,8.600000,7.350000,8.190000,8.094068,16572000
2014-05-01,8.190000,8.600000,7.630000,8.490000,8.390554,10525838
2014-06-01,8.490000,8.650000,7.760000,7.830000,7.738285,6015338
2014-07-01,7.830000,8.000000,7.000000,7.040000,7.040000,9471000
2014-08-01,7.070000,7.850000,6.550000,7.420000,7.420000,15392000
2014-09-01,7.370000,7.950000,6.850000,7.500000,7.500000,13062300
2014-10-01,7.500000,8.400000,7.210000,7.700000,7.700000,10076000
2014-11-01,7.770000,8.080000,7.400000,7.500000,7.500000,4318000
2014-12-01,7.420000,7.470000,5.630000,6.880000,6.880000,5853000
2015-01-01,6.880000,6.880000,5.510000,5.560000,5.560000,6449300
2015-02-01,5.580000,6.350000,4.950000,6.050000,6.050000,9633000
2015-03-01,6.130000,6.790000,4.760000,6.300000,6.300000,23196596
2015-04-01,6.450000,10.260000,6.300000,9.440000,9.440000,53030188
2015-05-01,9.440000,9.830000,8.530000,9.450000,9.450000,23585900
2015-06-01,9.500000,11.260000,7.930000,8.500000,8.500000,30413676
2015-07-01,8.500000,8.530000,4.180000,6.600000,6.600000,33996820
2015-08-01,6.600000,7.000000,4.400000,5.120000,5.120000,14286000
2015-09-01,4.990000,5.260000,4.580000,4.710000,4.710000,9723100
2015-10-01,4.710000,5.690000,4.650000,5.080000,5.080000,6150000
2015-11-01,4.960000,6.300000,4.880000,5.910000,5.910000,18753100
2015-12-01,5.910000,6.030000,5.090000,5.770000,5.770000,6786000
2016-01-01,5.770000,5.770000,4.310000,4.500000,4.500000,9840244
2016-02-01,4.520000,5.030000,4.250000,4.680000,4.680000,5038000
2016-03-01,4.750000,5.960000,4.560000,5.900000,5.900000,9434978
2016-04-01,5.970000,7.110000,5.660000,6.620000,6.620000,9856961
2016-05-01,6.620000,7.400000,6.000000,6.710000,6.710000,8686203
2016-06-01,6.670000,6.900000,6.190000,6.320000,6.320000,6024540
2016-07-01,6.320000,6.600000,6.110000,6.220000,6.220000,2521626
2016-08-01,6.200000,6.900000,6.100000,6.510000,6.510000,7864826
2016-09-01,6.520000,7.000000,6.290000,6.400000,6.400000,8357064
2016-10-01,6.430000,6.640000,6.280000,6.440000,6.440000,5214609
2016-11-01,6.430000,6.660000,6.250000,6.450000,6.450000,4055587
2016-12-01,6.440000,6.590000,5.440000,5.850000,5.850000,5618422
2017-01-01,5.850000,6.050000,5.500000,5.800000,5.800000,2170200
2017-02-01,5.700000,5.970000,5.180000,5.340000,5.340000,5590000
2017-03-01,5.350000,5.830000,5.280000,5.470000,5.470000,4648000
2017-04-01,5.470000,6.140000,5.320000,5.920000,5.920000,4846000
2017-05-01,5.920000,6.010000,5.410000,5.450000,5.450000,2319500
2017-06-01,5.450000,5.600000,5.180000,5.230000,5.230000,3760010
2017-07-01,5.230000,5.500000,5.000000,5.260000,5.260000,3582228
2017-08-01,5.180000,5.550000,4.900000,5.350000,5.350000,3754000
2017-09-01,5.350000,6.000000,5.200000,5.640000,5.640000,5846300
2017-10-01,5.640000,7.300000,5.640000,7.030000,7.030000,9270000
2017-11-01,7.030000,8.440000,6.960000,7.100000,7.100000,9960000
2017-12-01,6.990000,7.190000,6.510000,6.900000,6.900000,2064000
2018-01-01,6.900000,7.100000,6.450000,6.530000,6.530000,3844000
2018-02-01,6.640000,6.700000,5.900000,6.200000,6.200000,4592000
2018-03-01,6.240000,7.100000,6.080000,6.570000,6.570000,4604000
2018-04-01,6.570000,8.300000,6.440000,7.200000,7.200000,8770000
2018-05-01,7.200000,8.110000,7.060000,8.080000,8.080000,7514649
2018-06-01,7.900000,9.530000,7.710000,8.000000,8.000000,13091295
2018-07-01,8.000000,8.940000,7.010000,8.400000,8.400000,5928000
2018-08-01,8.430000,8.430000,7.600000,8.020000,8.020000,4708556
2018-09-01,8.020000,8.250000,7.860000,8.100000,8.100000,4236562
2018-10-01,8.100000,8.580000,7.960000,8.580000,8.580000,7827331
2018-11-01,8.470000,9.280000,8.330000,8.480000,8.480000,26604764
2018-12-01,8.660000,8.750000,6.980000,7.000000,7.000000,18509230
2019-01-01,7.000000,8.230000,7.000000,7.810000,7.810000,5433722
2019-02-01,7.920000,8.400000,7.500000,8.390000,8.390000,4970568
2019-03-01,8.400000,12.980000,8.130000,12.360000,12.360000,91644618
2019-04-01,12.740000,14.300000,11.720000,12.920000,12.920000,28323075
2019-05-01,12.920000,13.180000,9.700000,10.600000,10.600000,15533536
2019-06-01,10.800000,10.800000,8.380000,9.010000,9.010000,9635835
2019-07-01,9.010000,9.450000,7.620000,7.680000,7.680000,10928000
2019-08-01,7.100000,7.880000,7.000000,7.850000,7.850000,13593386
2019-09-01,7.810000,8.710000,6.740000,6.880000,6.880000,27873132
2019-10-01,6.880000,6.880000,5.460000,5.950000,5.950000,18175000
2019-11-01,5.930000,6.050000,4.640000,5.000000,5.000000,7918141
2019-12-01,4.810000,7.400000,4.800000,7.180000,7.180000,21299349
2020-01-01,7.180000,7.180000,5.310000,5.410000,5.410000,10568900
2020-02-01,5.460000,7.610000,5.440000,5.960000,5.960000,15987558
2020-03-01,5.970000,6.290000,4.700000,5.090000,5.090000,18288000
2020-04-01,5.000000,5.600000,4.920000,5.430000,5.430000,7542500
2020-05-01,5.430000,6.400000,5.100000,5.100000,5.100000,14802200
2020-06-01,5.100000,9.710000,5.080000,9.140000,9.140000,48062560
2020-07-01,9.140000,13.980000,8.670000,13.660000,13.660000,146609724
2020-08-01,13.800000,18.340000,12.720000,16.780001,16.780001,132584987
2020-09-01,16.799999,18.420000,12.840000,13.120000,13.120000,47143800
2020-10-01,13.120000,16.799999,11.140000,11.660000,11.660000,33721832
2020-11-01,11.780000,13.480000,10.500000,11.440000,11.440000,28646711
2020-12-01,11.400000,14.260000,11.020000,14.040000,14.040000,22510600
2021-01-01,14.040000,16.799999,12.380000,12.860000,12.860000,44580910
2021-02-01,12.980000,14.500000,11.200000,11.320000,11.320000,24675000
2021-03-01,11.740000,12.500000,9.500000,11.440000,11.440000,27179357
2021-04-01,11.680000,12.100000,10.020000,10.360000,10.360000,12626695
2021-05-01,10.380000,13.820000,9.600000,12.960000,12.960000,24271390
2021-06-01,13.180000,20.299999,13.000000,19.340000,19.340000,92272850
2021-07-01,19.080000,32.250000,18.559999,31.299999,31.299999,217880712
2021-08-01,31.500000,33.200001,22.900000,24.100000,24.100000,127016458
2021-09-01,24.500000,25.700001,18.900000,19.900000,19.900000,73488479
2021-10-01,19.280001,24.000000,18.240000,21.299999,21.299999,54652400
2021-11-01,21.799999,29.799999,19.700001,28.200001,28.200001,96085208
2021-12-01,28.350000,28.950001,22.200001,25.400000,25.400000,45668462
2022-01-01,25.250000,25.250000,19.660000,20.799999,20.799999,32280545
