Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,5.484371,5.513804,4.159880,4.532700,2.330216,11946127854
2008-02-01,4.611188,5.484371,4.562133,5.435315,2.794241,7689655460
2008-03-01,5.209661,5.494182,4.398288,5.317583,2.733717,9209870532
2008-04-01,5.396071,6.259443,5.317583,6.053411,3.111998,8627356860
2008-05-01,6.053411,6.210387,5.480446,5.719835,2.940510,5232856745
2008-06-01,5.739458,5.847379,5.170417,5.229283,2.688322,5283349137
2008-07-01,5.229283,5.886623,4.679865,5.788513,3.044805,8622081125
2008-08-01,5.739458,5.817946,4.964385,5.307772,2.791931,4710150006
2008-09-01,5.248906,5.347016,3.384808,4.493456,2.363595,11436188737
2008-10-01,4.493456,4.513078,2.560681,3.473107,1.826882,14965560092
2008-11-01,3.434844,4.101014,3.061044,3.728194,1.961060,10716172522
2008-12-01,3.679139,4.434589,3.659517,4.002904,2.105560,6838033899
2009-01-01,4.002904,4.493456,3.100288,3.286698,1.728830,8351924166
2009-02-01,3.051233,3.650687,2.992367,3.119910,1.641098,6148605906
2009-03-01,3.041422,4.208935,2.933500,3.953848,2.079756,10253080325
2009-04-01,4.022526,4.483644,3.875360,4.375723,2.301666,11336153847
2009-05-01,4.375723,4.807409,4.336479,4.787787,2.518415,8807458718
2009-06-01,4.797598,5.435315,4.601377,5.297961,2.885976,10779194246
2009-07-01,5.297961,5.651158,4.797598,5.474559,2.982175,7316407014
2009-08-01,5.425504,5.494182,5.003630,5.190039,2.827187,8781676697
2009-09-01,5.209661,6.249632,5.111551,5.729646,3.121129,7919406893
2009-10-01,5.729646,6.396797,5.533426,6.171143,3.361627,6131864345
2009-11-01,5.984734,6.936404,5.955300,6.426230,3.500582,6649504142
2009-12-01,6.377175,6.720561,5.984734,6.318309,3.441793,4957005211
2010-01-01,6.318309,6.396797,5.445126,5.592292,3.046308,8451964757
2010-02-01,5.523615,5.768891,5.278339,5.386260,2.934075,5224546310
2010-03-01,5.454937,5.876812,5.445126,5.808135,3.163885,7080006590
2010-04-01,5.867001,6.220198,5.543237,5.660969,3.083718,5813440154
2010-05-01,5.572670,5.700213,5.297961,5.660969,3.083718,6142236123
2010-06-01,5.562859,5.916056,5.415693,5.611914,3.150131,4484489033
2010-07-01,5.611914,5.847379,5.454937,5.827757,3.271290,3897218238
2010-08-01,5.984734,5.984734,5.435315,5.543237,3.111580,2904766046
2010-09-01,5.543237,5.876812,5.513804,5.670780,3.183174,5559463262
2010-10-01,5.670780,6.318309,5.621725,6.122088,3.436506,9023522046
2010-11-01,6.220198,6.769617,5.870000,6.040000,3.390427,8241096741
2010-12-01,5.960000,6.080000,5.580000,5.790000,3.250096,5162211969
2011-01-01,5.820000,6.130000,5.700000,5.800000,3.255709,5099656674
2011-02-01,5.800000,5.990000,5.620000,5.980000,3.356749,4423929286
2011-03-01,6.020000,6.500000,5.900000,6.460000,3.626186,7238925496
2011-04-01,6.500000,6.750000,6.400000,6.570000,3.687932,4521122412
2011-05-01,6.570000,6.680000,6.140000,6.520000,3.659867,3754231968
2011-06-01,6.510000,6.550000,5.680000,5.910000,3.317455,6031491331
2011-07-01,5.910000,6.060000,5.500000,5.930000,3.428989,4686264508
2011-08-01,6.010000,6.060000,4.680000,5.120000,2.960611,9107109495
2011-09-01,5.170000,5.270000,3.670000,3.820000,2.208893,9042492695
2011-10-01,3.710000,5.150000,3.460000,4.940000,2.856528,8631054654
2011-11-01,4.820000,5.220000,4.140000,4.310000,2.492233,7559278875
2011-12-01,4.700000,4.930000,4.500000,4.610000,2.665707,4995333921
2012-01-01,4.610000,5.610000,4.610000,5.430000,3.139867,5922123397
2012-02-01,5.440000,5.720000,5.270000,5.690000,3.290211,6381605563
2012-03-01,5.700000,5.720000,4.890000,5.010000,2.897004,6067067701
2012-04-01,5.070000,5.330000,4.920000,5.180000,2.995306,8532290655
2012-05-01,5.170000,5.260000,4.500000,4.720000,2.729313,7251578576
2012-06-01,4.640000,4.740000,4.140000,4.290000,2.480668,6745008073
2012-07-01,4.290000,4.460000,3.970000,4.450000,2.689603,6361146219
2012-08-01,4.420000,4.600000,4.170000,4.200000,2.538502,4722225443
2012-09-01,4.150000,4.610000,4.050000,4.580000,2.768176,5794368444
2012-10-01,4.580000,5.200000,4.540000,5.130000,3.100599,5888782994
2012-11-01,5.120000,5.270000,4.960000,5.230000,3.161039,4787839494
2012-12-01,5.200000,5.610000,5.080000,5.500000,3.324229,5111081823
2013-01-01,5.500000,6.000000,5.500000,5.840000,3.529726,6959821410
2013-02-01,5.850000,5.950000,5.350000,5.570000,3.366537,3855692335
2013-03-01,5.520000,5.640000,5.190000,5.440000,3.287964,5554058553
2013-04-01,5.440000,5.500000,5.030000,5.460000,3.300052,5210692121
2013-05-01,5.460000,5.700000,5.320000,5.470000,3.306097,7730847775
2013-06-01,5.400000,5.500000,4.390000,4.890000,2.955541,8990257797
2013-07-01,4.890000,5.190000,4.550000,5.100000,3.234963,6015426363
2013-08-01,5.120000,5.400000,4.900000,5.090000,3.228620,4656013486
2013-09-01,5.180000,5.640000,5.140000,5.410000,3.431598,5569666824
2013-10-01,5.410000,5.570000,5.100000,5.430000,3.444284,4392722126
2013-11-01,5.430000,5.630000,5.150000,5.570000,3.533087,4966184376
2013-12-01,5.600000,5.660000,5.160000,5.240000,3.323766,4588882038
2014-01-01,5.240000,5.270000,4.620000,4.810000,3.051014,5785512237
2014-02-01,4.810000,4.880000,4.570000,4.650000,2.949525,4604652921
2014-03-01,4.620000,4.770000,4.330000,4.770000,3.025642,5641210489
2014-04-01,4.790000,4.970000,4.560000,4.620000,2.930496,5044737288
2014-05-01,4.620000,5.090000,4.560000,5.040000,3.196905,4541611626
2014-06-01,5.040000,5.250000,4.800000,4.900000,3.108102,4836190853
2014-07-01,4.900000,5.350000,4.900000,5.330000,3.607521,4901686770
2014-08-01,5.270000,5.330000,5.080000,5.140000,3.478923,3646352515
2014-09-01,5.110000,5.340000,4.820000,4.840000,3.275873,6336552720
2014-10-01,4.840000,5.160000,4.740000,5.130000,3.472155,5473347318
2014-11-01,5.190000,5.300000,4.910000,5.260000,3.560143,6047229225
2014-12-01,5.190000,5.700000,5.100000,5.660000,3.830876,9127911441
2015-01-01,5.660000,5.900000,5.380000,5.580000,3.776730,5608860651
2015-02-01,5.510000,5.750000,5.440000,5.660000,3.830876,3908803220
2015-03-01,5.710000,5.750000,5.360000,5.720000,3.871486,6052493312
2015-04-01,5.720000,7.100000,5.720000,6.740000,4.561856,9721597856
2015-05-01,6.740000,7.000000,6.380000,6.750000,4.568625,5653804319
2015-06-01,6.680000,6.880000,5.950000,6.160000,4.169293,6234038603
2015-07-01,6.160000,6.350000,5.260000,5.340000,3.800904,8178180131
