Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,21.850000,24.100000,17.600000,19.260000,10.497068,825658664
2008-02-01,19.400000,20.400000,18.500000,19.520000,10.638769,347085193
2008-03-01,18.700001,19.200001,16.020000,18.780001,10.235457,454261261
2008-04-01,18.940001,20.450001,18.540001,20.250000,11.036636,403576543
2008-05-01,20.799999,21.000000,19.180000,19.940001,10.867677,273788375
2008-06-01,19.900000,21.000000,19.540001,20.650000,11.527152,370869714
2008-07-01,20.350000,20.950001,17.719999,19.820000,11.063834,380252402
2008-08-01,19.799999,20.000000,17.379999,17.500000,9.768775,308389152
2008-09-01,17.400000,18.100000,12.500000,13.600000,7.591734,621000883
2008-10-01,13.760000,13.860000,7.540000,8.580000,4.910318,636540194
2008-11-01,8.780000,10.260000,7.330000,8.920000,5.104898,592096285
2008-12-01,8.660000,9.920000,8.100000,8.780000,5.024777,481296357
2009-01-01,8.880000,9.310000,7.680000,8.030000,4.595552,704475376
2009-02-01,8.030000,8.560000,7.730000,7.820000,4.475370,539742911
2009-03-01,7.610000,8.590000,6.300000,7.930000,4.538322,705361111
2009-04-01,7.914000,11.340000,7.914000,11.060000,6.329617,865365858
2009-05-01,11.060000,12.480000,10.538000,12.340000,7.062159,717868209
2009-06-01,12.900000,14.460000,12.280000,13.580000,7.771809,585963740
2009-07-01,13.580000,16.719999,13.500000,16.520000,9.454366,499369921
2009-08-01,16.700001,16.700001,14.500000,15.540000,8.893512,415853747
2009-09-01,15.700000,18.660000,15.320000,17.000000,9.729070,466037899
2009-10-01,17.000000,18.360001,16.260000,18.240000,10.619737,757680362
2009-11-01,18.000000,19.879999,17.400000,17.780001,10.351912,338191279
2009-12-01,17.799999,19.100000,16.660000,17.700001,10.305336,255171275
2010-01-01,17.600000,17.700001,15.920000,16.299999,9.490223,371268035
2010-02-01,16.219999,18.100000,16.040001,17.500000,10.188889,329979407
2010-03-01,17.780001,19.320000,17.459999,18.520000,10.782760,334513935
2010-04-01,18.879999,19.500000,18.540001,18.900000,11.004003,259265128
2010-05-01,18.900000,18.959999,16.160000,17.580000,10.235467,281154955
2010-06-01,17.320000,18.459999,16.820000,17.860001,10.738544,211639703
2010-07-01,17.959999,20.299999,17.500000,19.940001,11.989171,357372143
2010-08-01,20.100000,21.400000,19.500000,20.450001,12.295814,385131187
2010-09-01,20.600000,24.799999,20.450001,24.600000,14.791052,443618191
2010-10-01,24.650000,36.000000,24.040001,24.040001,14.713039,417067223
2010-11-01,24.549999,29.400000,24.450001,26.700001,16.341019,501150601
2010-12-01,26.500000,28.200001,25.500000,26.450001,16.188013,390521073
2011-01-01,26.600000,28.350000,24.600000,25.150000,15.392380,465544830
2011-02-01,25.000000,25.549999,22.900000,24.150000,14.780354,427425598
2011-03-01,24.600000,25.600000,23.400000,25.350000,15.514785,472557997
2011-04-01,25.500000,25.600000,24.049999,24.400000,14.933365,292126017
2011-05-01,24.400000,24.650000,23.100000,24.000000,14.688554,286684039
2011-06-01,24.000000,24.299999,21.950001,22.600000,14.161682,312401121
2011-07-01,22.600000,23.650000,22.299999,23.299999,14.600318,214993972
2011-08-01,23.549999,23.950001,18.200001,21.350000,13.378398,779451774
2011-09-01,21.549999,21.799999,16.680000,16.700001,10.464605,463709978
2011-10-01,16.000000,19.500000,14.240000,18.780001,12.127527,452466023
2011-11-01,18.080000,19.000000,16.240000,17.080000,11.029720,282256832
2011-12-01,17.940001,18.700001,17.459999,18.400000,11.882132,217865887
2012-01-01,18.400000,21.000000,18.180000,20.500000,13.238247,253253229
2012-02-01,20.450001,22.200001,20.250000,21.750000,14.045459,260250692
2012-03-01,21.799999,22.150000,20.799999,21.450001,13.851729,237150699
2012-04-01,21.799999,24.150000,21.350000,24.049999,15.530724,287907453
2012-05-01,24.100000,24.450001,21.049999,21.350000,13.787148,328152511
2012-06-01,21.100000,24.000000,20.850000,23.600000,15.626819,265121671
2012-07-01,23.600000,23.900000,22.600000,23.850000,15.792350,195540840
2012-08-01,23.850000,24.950001,23.549999,24.549999,16.255856,219488624
2012-09-01,24.500000,24.799999,23.200001,24.650000,16.322071,223699577
2012-10-01,24.650000,25.000000,23.299999,23.850000,16.152393,251981611
2012-11-01,24.000000,24.299999,23.200001,23.799999,16.118532,175547717
2012-12-01,24.049999,24.500000,23.600000,24.100000,16.321707,199861772
2013-01-01,24.100000,27.000000,24.100000,26.750000,18.116419,371911034
2013-02-01,26.799999,27.100000,25.299999,26.150000,17.710073,206278657
2013-03-01,26.200001,27.100000,25.400000,25.900000,17.540758,282172625
2013-04-01,25.900000,26.850000,25.000000,26.700001,18.082556,256465082
2013-05-01,26.700001,28.000000,25.799999,25.900000,17.540758,229723701
2013-06-01,25.750000,25.850000,22.850000,23.850000,16.573093,299588398
2013-07-01,23.850000,24.650000,23.200001,24.350000,16.920544,189874047
2013-08-01,24.400000,25.350000,24.049999,24.450001,16.990030,190921368
2013-09-01,24.600000,25.799999,24.549999,24.900000,17.302732,228212281
2013-10-01,24.900000,25.450001,24.500000,25.299999,17.963102,166495066
2013-11-01,25.049999,26.600000,24.600000,26.200001,18.602110,220203694
2013-12-01,26.400000,26.549999,24.400000,24.850000,17.643602,157325586
2014-01-01,24.850000,24.950001,23.500000,23.600000,16.756098,161915265
2014-02-01,23.600000,24.500000,22.950001,23.549999,16.720594,166846105
2014-03-01,23.299999,23.850000,21.500000,22.100000,15.691092,295488289
2014-04-01,22.200001,23.549999,21.950001,22.700001,16.117098,262920965
2014-05-01,22.700001,23.650000,22.049999,23.350000,16.578594,177937464
2014-06-01,23.350000,23.750000,22.299999,22.450001,15.939591,203932414
2014-07-01,22.450001,24.600000,22.450001,24.450001,17.710798,232653782
2014-08-01,24.400000,26.650000,24.100000,26.049999,18.869783,282463626
2014-09-01,26.100000,26.500000,23.850000,24.750000,17.928106,206927356
2014-10-01,24.750000,25.950001,23.900000,25.799999,19.081873,173424931
2014-11-01,25.850000,27.950001,25.350000,27.400000,20.265245,323702076
2014-12-01,27.000000,27.700001,24.850000,25.950001,19.192812,241386688
2015-01-01,25.950001,27.700001,25.049999,27.250000,20.154303,215791020
2015-02-01,27.400000,27.700001,26.799999,27.350000,20.228268,183395684
2015-03-01,27.350000,28.400000,26.000000,27.650000,20.450146,201041446
2015-04-01,27.750000,31.700001,27.650000,30.150000,22.299164,299142004
2015-05-01,30.150000,33.700001,29.200001,31.900000,23.593477,313898043
2015-06-01,31.900000,33.299999,31.100000,32.299999,23.889318,263030818
2015-07-01,32.299999,32.950001,26.700001,31.250000,23.530323,349063809
2015-08-01,31.200001,32.000000,25.150000,26.200001,19.727823,341768711
2015-09-01,26.200001,26.200001,22.299999,22.750000,17.130075,335268929
2015-10-01,22.750000,26.500000,22.750000,24.900000,19.165096,282097366
2015-11-01,24.350000,26.000000,23.650000,23.750000,18.279961,208561653
2015-12-01,23.600000,24.450001,22.450001,23.700001,18.241476,156471104
2016-01-01,23.700001,23.750000,19.400000,20.500000,15.778495,279823961
2016-02-01,20.600000,20.600000,18.820000,20.200001,15.547587,211576394
2016-03-01,20.500000,23.250000,20.000000,23.150000,17.818153,180149588
2016-04-01,23.000000,24.600000,22.200001,23.250000,17.895121,190067671
2016-05-01,23.250000,24.100000,21.549999,23.900000,18.395411,246124902
2016-06-01,23.850000,24.700001,22.000000,23.200001,17.856638,247311981
2016-07-01,23.200001,26.250000,22.700001,25.450001,20.143280,244532617
2016-08-01,25.549999,27.400000,25.100000,27.150000,21.488802,234529372
2016-09-01,27.049999,29.700001,25.850000,26.200001,20.736897,381607417
2016-10-01,26.549999,28.299999,25.750000,27.700001,22.473387,241154926
2016-11-01,27.750000,29.299999,25.799999,29.100000,23.609228,278935119
2016-12-01,28.799999,29.850000,27.100000,27.750000,22.513952,229934923
2017-01-01,27.750000,31.299999,27.650000,31.200001,25.312984,221124250
2017-02-01,30.650000,31.750000,30.400000,30.700001,24.907330,206980033
2017-03-01,31.049999,32.549999,30.600000,31.750000,25.759205,214101538
2017-04-01,31.799999,32.400002,30.400000,32.000000,25.962032,191388377
2017-05-01,32.000000,35.250000,32.000000,35.150002,28.517673,220272617
2017-06-01,35.299999,39.500000,34.299999,37.349998,30.302563,252250214
2017-07-01,37.500000,38.750000,36.049999,38.450001,31.704399,247610183
2017-08-01,38.750000,40.500000,37.150002,39.849998,32.858780,335543640
2017-09-01,39.799999,39.799999,37.799999,37.950001,31.292116,250204503
2017-10-01,37.950001,39.099998,36.599998,37.150002,30.707462,197608441
2017-11-01,37.099998,39.700001,36.000000,39.500000,32.649921,309476886
2017-12-01,39.799999,40.500000,38.150002,39.599998,32.732578,222531197
2018-01-01,39.599998,42.150002,39.200001,39.950001,33.021885,322896037
2018-02-01,40.049999,40.200001,36.799999,39.599998,32.732578,239043596
2018-03-01,39.049999,40.500000,37.849998,38.200001,31.575369,180565978
2018-04-01,38.200001,41.099998,36.400002,40.849998,33.765808,227366688
2018-05-01,40.849998,41.500000,38.700001,39.450001,32.608597,169613838
2018-06-01,39.450001,40.400002,36.950001,36.950001,30.542147,181995571
2018-07-01,36.950001,38.200001,35.250000,38.000000,32.046787,213854925
2018-08-01,37.599998,39.950001,36.700001,38.299999,32.299789,242943645
2018-09-01,38.549999,38.549999,35.150002,37.200001,31.372118,200172269
2018-10-01,37.200001,37.200001,28.900000,29.299999,25.083786,280962919
2018-11-01,29.150000,30.900000,28.500000,30.500000,26.111107,249120042
2018-12-01,30.900000,31.500000,28.750000,29.100000,24.912563,160564403
2019-01-01,29.100000,30.750000,27.549999,30.100000,25.768669,219977312
2019-02-01,30.250000,33.200001,29.500000,32.799999,28.080141,307798598
